outcome,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,on last GSS year,"on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year","on first ""future"" GSS year",article_id
group,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,propSig,paramSizesNormed,Rs,adjRs,pvalues,propSig_CentralVars,paramSizesNormed_CentralVars,pvalues_CentralVars,
,,,,,,,,,,,,,,,,,
67,0.07142857142857142,0.07611235102105052,0.021892858004126214,0.013286006974621456,0.49182861520996823,0.0,0.08590689299775763,0.6054505124903777,0.07142857142857142,0.042258132456091876,0.011782430621092299,0.007135119243428578,0.5737049777871202,0.0,0.05629336806471254,0.603994374292808,2548
68,0.42857142857142855,0.20727933300713447,0.07193517979983721,0.06376867603943359,0.12846250061880768,0.375,0.2549976624467182,0.1481668286945164,0.35714285714285715,0.10034747449818629,0.04784184144670278,0.04336410741252528,0.3274185525983538,0.125,0.10026037920770603,0.3871291624872612,2548
69,0.35714285714285715,0.17150939943840887,0.13057534713792196,0.12292484736415143,0.2787378081415772,0.125,0.19304361264455236,0.32717850760938655,0.42857142857142855,0.15304330242284672,0.11303008646640378,0.10885891455190244,0.25899373004569776,0.25,0.169573413943401,0.28141543582202755,2548
70,0.2857142857142857,0.14840083400259713,0.06580339667037394,0.05758293630166578,0.33787164222586336,0.125,0.17396766127775273,0.3974427056167276,0.35714285714285715,0.12356940750099499,0.03704981110175776,0.032521325161356085,0.2529166671458656,0.25,0.14608628876019336,0.24999729458859524,2548
71,0.11538461538461539,0.180540648177101,0.060790088645892415,0.05208439962799338,0.4092240373103398,0.17647058823529413,0.24464661998948162,0.33116206506276624,0.15384615384615385,0.18542717800190547,0.0478123818550914,0.0389389488544577,0.30843321246117683,0.17647058823529413,0.21802756286164449,0.31587639500820425,2092
72,0.19230769230769232,0.12616225858596086,0.0460650458405788,0.037222868012363075,0.4213626785035143,0.17647058823529413,0.11816683031762573,0.5039953522940962,0.07692307692307693,0.15799687240980267,0.02868893984522325,0.01963729555704241,0.3544458085862434,0.11764705882352941,0.19989784378167746,0.3061535596968372,2092
73,0.19230769230769232,0.16392000460747508,0.10000607644619708,0.09166388678045767,0.40981015815088784,0.23529411764705882,0.2136442045148627,0.34586813013620665,0.5,0.3229315363427375,0.08610129217490614,0.07758467339230657,0.18748173250487044,0.35294117647058826,0.3852977874586429,0.18994983993431297,2092
74,0.15384615384615385,0.16386482359269106,0.0892195812208163,0.08077740978115189,0.3497019704238096,0.23529411764705882,0.20690917311686827,0.32430240345376615,0.6153846153846154,0.34920432049115724,0.08619585417589493,0.07768011661624363,0.13862608648755131,0.47058823529411764,0.3884718150660292,0.16264593953205395,2092
75,0.07692307692307693,0.13019189865183783,0.061721343397933004,0.05302428633138978,0.4762445497300396,0.11764705882352941,0.1546685324658081,0.48506679894605303,0.34615384615384615,0.21047012582763613,0.06113216156542001,0.052382855544165774,0.2538771788158108,0.29411764705882354,0.1989926558349315,0.3123210325062511,2092
76,0.19230769230769232,0.12909145160565771,0.09121901293763257,0.08279537455487973,0.4838900520611094,0.23529411764705882,0.1628816516039621,0.43563059003627136,0.46153846153846156,0.299733166093589,0.0812123774790684,0.07265019891794133,0.2083501683345115,0.29411764705882354,0.355693730808071,0.206702305243529,2092
77,0.0,0.07947424371724708,0.007389807138555193,0.00479813561672382,0.14147206710902377,0.0,0.0794742437172471,0.14147206710902377,0.5,0.18169208804961753,0.02119530635795286,0.018331210692577482,0.16644349653232443,0.25,0.14490047916030654,0.22174332875613798,5556
78,0.5555555555555556,0.11573545210151365,0.035225149469475414,0.030531650196624294,0.16479720007993606,0.6666666666666666,0.15770478887759853,0.09715731871219203,0.2222222222222222,0.044024291329382854,0.01361021432966325,0.008023362176716065,0.43772939502860386,0.16666666666666666,0.050964866883910324,0.47850939455645075,3313
79,0.3333333333333333,0.10239697330033096,0.060139929948768156,0.055567637716086526,0.3183174224834335,0.5,0.1487643487970609,0.1327243821023377,0.4444444444444444,0.07583460824358103,0.023999789465625088,0.018471783238558026,0.345669223601944,0.6666666666666666,0.10864324875801144,0.16760929311986908,3313
80,0.4444444444444444,0.11005594506236777,0.0479808676309591,0.043349423203217885,0.2684236096691673,0.6666666666666666,0.15672291856826798,0.1250079927431361,0.3333333333333333,0.11036602383965316,0.031247743428469255,0.0257607891747601,0.27630547577785447,0.5,0.15545377851688516,0.15303776047287387,3313
81,0.3333333333333333,0.1127027372814332,0.09186832905728848,0.08745039119864828,0.2108682259397564,0.5,0.1576625741286041,0.13598762941379092,0.3333333333333333,0.08421534538272295,0.048556421130167005,0.04316750218125032,0.35694371806531605,0.5,0.11721951837855384,0.28466300412214246,3313
82,0.3333333333333333,0.1560423070597713,0.19878977943229437,0.1948919999808839,0.3263034412813146,0.5,0.22853272639449804,0.1738869141203063,0.4444444444444444,0.10287656417366728,0.06474375293289159,0.05944651805334211,0.38026207540781176,0.5,0.14479352942026635,0.26189058464608284,3313
